Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.303499
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.064899
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 1.902400
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.880537

Task: 0   Test set: Avg. loss: 0.0018, Accuracy: 387/1000(39%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.780787
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.734474
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.841655
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.495920

Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 470/1000(47%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.541028
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.675573
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.566453
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.478289

Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 475/1000(48%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.513869
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.438502
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.528427
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.456721

Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 584/1000(58%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.365213
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.536844
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.314428
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.286436

Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 608/1000(61%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.168463
